sample_id,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE164416_DP003,-1.3417818553744925,-0.035031512300698606,-0.05653502040193801,0.23039386275047963,0.12219082010202548,-0.7928899158868111,-0.6607025725572586,-1.9306699882318779,0.41249456003904134,-0.6025635535703922,-0.41563859595850344,0.16174776674995023,0.10984043184024396,-0.07066913676430729
GSE164416_DP010,0.8221646266574151,1.2825648596409138,1.2974066151891657,-1.6130477157547423,1.6381523710106953,0.7271613269293343,1.0044959131490732,1.1216011736080174,1.5694940022865178,1.2672854741648811,1.2192990922896905,0.8571443931729557,1.346729900397313,0.7556667825863442
GSE164416_DP011,1.2786304334047032,0.8743321322261354,1.805701103081939,-1.1034193544700246,1.2647138974824315,0.4739164002114502,2.218738764161995,0.7722281020039109,1.2814574775309948,0.7346628608149972,0.9212062424734707,0.8752359652039724,0.9978215464051229,0.625599812022931
GSE164416_DP012,1.0566403411349847,0.6130498509803581,0.8578198499203072,-1.1160828228749513,0.803790952991778,1.1700234078616134,1.7792993509796118,1.3699738701723514,0.874165835019741,0.9575382041407141,0.15894601233681446,0.5073733254993634,1.3191847613332093,0.26925809867474315
GSE164416_DP019,0.5477334144769541,0.9628586912597986,1.2846799725149773,-1.6130477157547423,0.49073511922422824,0.5703685323069612,0.7158826683906997,-0.12956279873515436,1.4061646086973936,0.2935420273489563,0.11674103957807722,0.19694322541602924,1.4378430227808339,1.2636552315869654
GSE164416_DP021,0.6552644118180124,0.4044369537174748,0.16438877375687985,-1.6130477157547423,0.651072182434663,0.8342071691487218,-1.09306786456621,0.21537390591962077,0.5634007359463196,1.0605334154611208,0.8655794519097633,1.1399163943547173,2.02507248230592,-0.2980627091804396
GSE164416_DP030,0.25577012863325005,0.06373711220813731,-1.1525430141010091,0.7847878436073776,0.04979636207312405,-1.0236100539148003,-0.3872674586985812,0.2697332991266371,0.5404505162831077,-0.11951823743628191,0.6905814215272823,1.2357827131265222,1.4762586268416211,0.7580708814675109
GSE164416_DP034,-3.1999496444087314,-0.7860845894576902,-0.8193950011586923,2.1459967446716957,-1.0611253616603538,0.7255890525242678,-1.09306786456621,-1.3840485257491177,-3.4588546501777633,-4.686890397427612,-3.2476654052347036,-1.5092546390850576,-1.362223466969471,-1.3989444414201793
GSE164416_DP042,-0.017269178953961583,-0.06435576914779954,-0.5912390470879673,-0.9303724375085392,-0.6092835456424613,0.6626726176312921,-0.003026084779386393,0.002669353970084269,0.33442793124071,0.7379204499217145,0.3793224398159891,-0.1946264543285622,-0.5573630708514293,0.0015352266916228605
GSE164416_DP049,-0.954220507167374,-1.0060592522473666,-1.271753744214976,-0.09114468991040614,0.37743171251098845,-0.8462140841730357,-1.09306786456621,-0.11492571499531183,-0.25311402980818004,0.037340757436489486,0.5805657955058056,-0.023857668869199072,0.678094994262646,0.015412405706515213
GSE164416_DP052,1.7420440092894864,2.754007504108961,2.8365255309128474,-1.6130477157547423,2.245690104061123,1.8264039542300188,1.558090588530777,0.7764318574610245,0.8413486859035276,0.7932636055085382,1.004275267616407,0.2928272110573286,0.8268646996285165,1.451750592976618
GSE164416_DP054,1.4479060317867387,1.3856911325949712,1.3919524257495317,-1.2419523110698798,0.5443156825910298,-0.014893800877047442,1.0116338915238456,0.5838782387173145,0.8972753807523087,0.7543652533377854,0.5363984101604378,0.07365856951878089,-0.5302932192519655,1.388396868098856
GSE164416_DP055,-1.0509359135278091,-0.05468646056005453,-0.8329019299144089,1.074610574769576,-0.8929486129464824,-1.1551232553353687,-1.09306786456621,0.04371534590526483,0.11833757625256423,-0.5979433022130644,0.6151062996644769,-0.7816216574039412,-1.9923025653462292,0.5693129544827595
GSE164416_DP058,-0.6901272487175147,-0.8598246454245402,-0.4577998495058538,0.5415295081300673,-0.1375376832805981,0.21622897282937864,0.2794845086896814,0.01917267198282783,-1.1865468433310014,-0.17413326522459785,0.6135957562457539,-0.042782899187166906,-0.39260075933057276,-0.11591853280730614
GSE164416_DP064,-1.2731427937828055,-0.7460468482873819,-0.5745692454127227,0.014578336368360955,-1.1260610483057023,-0.7241743820229073,0.9782983793527398,1.640837588600811,-0.7027694304588883,1.153485643036173,-0.11806765106189875,0.4183341784046054,0.45467440593131164,-2.176356767119285
GSE164416_DP069,1.5567083337791143,1.0196920493349002,0.7885828501737877,-1.6130477157547423,1.2226213039800622,1.471750300744888,-1.09306786456621,0.23540622060892752,0.7293114560367057,0.9205176900861692,1.4744747737492194,1.771314124033256,0.8688620335004594,0.23360100225760563
